,date_time,price_usd,srch_booking_window,srch_saturday_night_bool
187,2013-04-09 09:07:46,60.0,55,0
188,2013-03-21 18:41:35,112.0,0,1
189,2013-03-19 19:42:11,152.0,46,1
190,2013-02-28 15:39:42,92.0,1,0
191,2013-03-26 12:44:27,131.0,14,0
192,2013-01-15 18:29:22,158.0,3,1
193,2013-03-02 17:29:53,77.0,43,0
194,2013-03-24 09:34:01,122.0,5,1
195,2012-12-30 15:56:29,66.0,29,0
196,2013-06-13 21:09:44,50.0,81,0
197,2013-05-17 19:43:16,71.0,136,0
198,2012-11-13 09:16:30,46.0,7,0
199,2013-03-23 10:36:47,67.0,71,0
200,2013-04-23 11:28:23,68.0,96,0
201,2013-05-16 14:15:50,67.0,115,0
202,2013-03-03 05:39:27,97.0,14,0
203,2013-03-01 08:01:48,198.0,14,1
204,2012-12-27 21:03:12,236.0,3,0
205,2013-04-24 19:49:49,98.0,20,0
206,2013-01-06 20:41:13,154.0,33,1
207,2013-06-20 16:22:47,69.0,25,0
208,2013-05-23 13:27:37,77.03,4,0
209,2012-12-19 23:32:57,106.0,9,1
210,2012-11-30 23:46:18,86.0,43,1
211,2013-04-13 17:38:09,56.0,99,0
212,2013-02-11 21:52:25,100.0,17,1
213,2013-01-11 23:08:17,60.0,9,0
214,2013-01-10 00:27:31,180.0,37,1
215,2012-12-31 20:21:59,66.0,27,0
216,2012-12-25 17:27:50,111.0,54,0
217,2013-06-27 11:27:58,161.0,1,1
218,2013-02-11 19:59:05,133.0,36,0
219,2013-04-08 15:25:15,70.0,24,1
220,2013-03-28 16:02:04,130.0,44,1
221,2013-01-01 09:46:47,60.0,15,0
222,2013-06-16 07:52:09,124.0,7,0
223,2013-03-04 18:05:17,65.0,98,0
224,2013-03-18 21:41:53,106.0,115,1
225,2012-12-21 10:10:19,84.0,22,0
226,2013-04-25 12:50:15,126.0,0,1
227,2013-03-06 11:26:13,143.0,13,0
228,2012-12-18 19:47:24,68.0,3,1
229,2013-04-06 19:18:04,155.0,50,0
230,2013-03-02 22:30:01,146.0,7,1
231,2012-11-10 09:00:03,124.0,111,1
232,2013-04-01 20:14:42,141.0,88,1
233,2013-01-03 06:43:46,62.0,137,0
234,2012-11-08 19:17:27,63.0,54,0
235,2013-05-18 19:30:11,56.0,50,0
236,2013-05-31 08:51:34,76.0,9,0
237,2013-05-10 04:11:04,95.0,0,1
238,2013-01-18 21:06:42,149.0,0,1
239,2012-12-04 07:57:40,253.0,34,0
240,2013-06-24 11:14:10,146.0,67,1
241,2012-11-20 12:11:56,275.0,48,0
242,2013-06-18 11:48:07,142.0,38,1
243,2012-12-26 11:12:37,225.0,3,1
244,2012-12-09 17:01:16,287.0,21,0
245,2013-02-09 11:13:54,119.0,14,1
246,2012-12-23 17:14:52,76.0,3,0
247,2012-11-24 21:26:12,40.0,17,0
248,2013-01-02 03:55:26,43.0,0,0
249,2013-03-23 21:35:05,52.0,8,0
250,2013-02-01 20:48:53,156.0,48,1
251,2012-12-12 21:14:51,123.0,16,1
252,2013-06-11 12:29:47,143.0,31,1
253,2013-01-21 16:05:12,88.0,19,1
254,2013-04-18 21:46:16,63.0,24,0
255,2012-11-20 19:29:39,53.0,1,0
256,2013-04-10 21:46:07,145.0,1,1
257,2013-06-14 08:41:32,69.0,3,0
258,2013-05-31 10:33:41,134.0,42,1
259,2012-11-28 19:17:03,108.0,2,1
260,2013-01-17 22:51:42,60.86,3,0
261,2013-02-08 05:31:51,83.0,13,1
262,2013-03-18 15:58:56,64.0,60,1
263,2013-04-14 13:44:11,82.0,145,0
264,2013-05-02 10:29:42,155.0,18,0
265,2013-04-07 18:06:45,70.0,14,0
266,2012-11-07 22:13:15,160.0,10,1
267,2013-04-04 14:07:11,185.0,3,0
268,2012-11-29 20:13:55,124.0,50,1
269,2013-05-21 20:09:08,81.0,62,0
270,2013-05-24 21:47:38,117.0,76,1
271,2013-04-27 12:13:44,57.0,2,0
272,2013-04-22 07:54:59,52.0,36,0
273,2013-05-11 15:28:45,60.0,57,0
274,2013-05-05 13:23:17,66.0,56,0
275,2013-01-11 08:12:48,88.0,32,0
276,2013-04-23 11:28:12,120.0,94,1
277,2013-05-13 15:00:59,170.0,13,0
278,2013-05-29 09:57:51,164.0,30,1
279,2012-12-20 08:39:00,71.0,3,0
280,2013-02-06 15:44:18,59.0,7,0
281,2013-02-19 21:16:38,103.0,1,0
282,2013-05-13 23:05:10,66.0,35,0
283,2013-05-02 22:41:36,105.99,0,1
284,2013-04-19 19:51:01,64.0,54,0
285,2013-01-05 13:43:05,70.0,15,0
286,2012-12-26 16:50:33,106.0,1,1
287,2013-04-18 15:02:05,76.0,3,0
288,2012-11-11 21:01:52,64.0,41,1
289,2013-03-21 01:15:17,104.0,77,1
290,2013-03-02 16:00:45,95.0,118,1
291,2013-05-03 18:05:28,76.0,9,0
292,2012-12-11 11:55:29,84.0,3,1
293,2013-02-16 14:49:20,150.0,1,0
294,2013-01-17 12:59:12,151.0,29,1
295,2013-06-25 17:55:28,113.0,7,0
296,2012-12-08 20:01:05,66.0,15,0
297,2013-04-12 23:24:19,49.0,4,0
298,2013-06-05 10:30:26,79.0,96,0
299,2013-01-20 16:23:52,115.0,18,1
300,2013-02-12 17:42:50,152.0,54,0
301,2012-12-27 16:46:49,129.0,13,0
302,2013-04-14 14:21:02,63.0,71,0
303,2013-05-30 12:16:47,86.0,34,0
304,2013-06-08 12:47:20,121.0,15,0
305,2013-06-20 22:01:58,54.0,10,0
306,2012-12-22 18:58:35,81.0,4,0
307,2012-11-29 22:48:20,50.0,4,0
308,2013-02-21 21:52:45,134.0,8,1
309,2013-01-08 16:07:59,141.0,31,1
310,2013-05-14 12:22:25,268.0,38,1
311,2012-12-21 20:30:49,68.0,2,0
312,2013-04-13 10:32:33,94.0,43,0
313,2013-05-20 21:01:05,74.0,2,0
314,2012-11-07 19:11:07,92.0,6,0
315,2013-01-22 11:48:47,124.0,44,1
316,2013-01-06 17:59:27,48.0,15,0
317,2013-06-04 17:57:20,133.0,102,1
318,2013-03-27 06:15:05,156.0,65,1
319,2012-12-31 13:08:49,91.0,87,1
320,2013-01-29 12:45:55,104.0,106,0
321,2013-04-17 15:30:31,76.0,6,0
322,2013-01-16 13:13:49,115.0,22,1
323,2012-11-27 00:00:43,61.0,38,1
324,2013-06-14 20:58:03,151.0,5,0
325,2013-04-11 13:35:38,92.0,2,1
326,2013-02-05 10:03:13,150.0,4,1
327,2013-06-10 10:54:43,119.0,115,1
328,2013-02-09 18:40:04,188.0,34,1
329,2013-04-06 18:05:11,178.0,1,0
330,2013-04-23 01:22:48,103.0,73,1
331,2013-06-04 23:47:03,121.0,10,1
332,2012-12-07 23:52:33,118.0,132,1
333,2013-02-11 19:04:20,128.0,12,1
334,2013-02-12 08:45:23,56.0,168,0
335,2013-03-25 09:14:05,71.0,1,0
336,2013-05-29 20:23:04,56.0,39,0
337,2012-11-04 10:10:45,59.0,1,0
338,2013-03-20 13:56:13,60.0,5,0
339,2013-03-17 07:38:48,370.0,5,1
340,2012-11-28 14:47:26,37.0,19,0
341,2013-03-06 07:03:35,193.0,9,1
342,2012-11-21 19:03:01,289.0,10,1
343,2013-06-27 09:21:40,70.0,17,0
344,2013-06-03 14:47:33,121.0,4,1
345,2012-11-07 15:00:54,118.0,8,1
346,2012-11-27 19:13:18,52.0,23,1
347,2012-11-03 23:38:09,155.0,6,1
348,2012-12-07 22:54:42,56.0,14,1
349,2013-05-07 00:14:32,140.0,31,1
350,2013-01-14 16:04:44,55.0,6,0
351,2012-11-07 18:52:58,43.0,12,0
352,2013-01-23 15:44:56,68.0,6,0
353,2012-11-05 15:15:23,43.0,42,0
354,2013-04-02 23:12:14,148.0,11,1
355,2012-11-28 14:11:46,116.0,99,1
356,2013-01-18 09:27:29,118.0,42,1
357,2013-03-09 15:05:19,97.0,111,1
358,2013-02-17 20:49:53,182.0,124,1
359,2012-12-04 18:20:57,56.0,8,0
360,2013-01-22 11:15:29,52.0,145,0
361,2013-05-07 23:42:32,117.0,66,1
362,2013-03-12 13:38:07,190.0,66,1
363,2013-04-12 14:53:43,50.0,3,0
364,2012-11-28 21:43:23,55.0,24,1
365,2012-11-11 21:49:33,63.0,32,1
366,2013-03-23 23:51:20,56.0,2,0
367,2013-06-22 09:20:24,319.0,0,1
368,2013-01-16 14:23:19,63.0,131,0
369,2012-11-15 20:37:00,80.0,95,0
370,2013-03-02 16:32:55,109.0,74,0
371,2013-01-15 08:57:23,58.0,48,0
372,2013-06-20 07:27:07,229.0,1,1
373,2013-02-09 09:59:17,85.0,48,1
374,2013-03-04 03:14:00,66.0,154,0
375,2013-06-29 09:39:47,52.0,1,0
376,2013-02-10 07:17:00,99.0,7,0
377,2012-12-25 15:51:47,51.0,7,0
378,2013-05-20 17:58:14,231.0,32,1
379,2013-06-16 19:24:44,72.0,56,0
380,2013-04-11 07:12:18,103.0,77,1
381,2012-11-09 16:26:29,123.0,14,1
382,2013-05-31 23:21:30,116.0,23,0
383,2012-11-20 03:16:11,65.0,12,0
384,2013-04-27 05:32:38,50.0,130,0
385,2012-11-28 20:38:27,102.0,30,1
386,2012-12-28 01:07:14,53.0,4,0
387,2012-12-06 12:55:16,71.0,21,1
388,2012-12-08 23:00:29,90.0,14,1
389,2013-04-10 10:13:41,86.0,35,0
390,2013-05-17 18:18:27,103.0,47,0
391,2013-01-27 13:12:07,117.0,55,1
392,2012-12-27 10:23:13,95.0,107,1
393,2012-12-12 06:00:38,111.0,38,1
394,2013-01-28 13:03:13,134.0,10,1
395,2012-12-13 22:53:41,82.0,22,1
396,2013-01-25 13:56:43,62.0,93,0
397,2013-05-08 10:29:36,145.0,72,1
398,2013-03-17 10:51:32,108.0,212,0
399,2012-11-16 12:12:49,80.0,8,1
400,2013-05-12 17:03:59,146.0,34,1
401,2012-12-26 11:21:30,63.0,17,1
402,2013-06-21 22:00:36,64.0,17,0
403,2013-06-23 08:09:55,69.0,22,0
404,2012-12-26 18:13:02,95.0,64,1
405,2013-03-05 11:00:45,204.0,15,0
406,2013-03-12 07:52:50,250.0,11,1
407,2013-01-14 13:34:15,84.0,40,1
408,2013-03-12 19:55:07,185.0,38,1
409,2013-06-25 16:49:47,54.0,5,0
410,2013-02-01 01:13:47,65.0,51,0
411,2013-05-27 16:23:31,118.0,3,1
412,2013-03-12 16:32:24,138.0,17,1
413,2013-05-25 21:31:49,182.0,6,1
414,2012-12-11 08:15:00,273.0,29,0
415,2013-06-18 08:43:31,282.0,87,1
416,2013-01-31 00:13:09,118.0,6,0
417,2013-03-13 21:42:29,76.0,15,1
418,2013-06-13 16:51:46,74.0,20,0
419,2013-01-17 12:50:25,112.0,2,1
420,2013-02-13 10:14:44,118.0,44,1
421,2012-11-26 08:18:53,102.0,3,1
422,2013-06-08 11:23:03,114.0,41,1
423,2012-11-26 10:44:12,121.0,4,1
424,2013-02-01 22:31:23,102.0,1,1
425,2012-12-24 20:57:02,62.0,11,1
426,2012-12-11 14:06:32,64.0,24,1
427,2013-03-01 12:12:46,66.0,2,0
428,2013-06-14 10:14:16,192.0,6,1
429,2013-05-21 14:23:52,96.0,50,0
430,2012-11-01 19:59:06,60.0,51,1
431,2013-03-06 10:44:04,90.0,11,0
432,2013-06-11 16:28:21,129.0,9,1
433,2012-11-22 14:05:02,50.0,2,1
434,2013-05-01 13:51:31,50.0,0,0
435,2013-06-19 15:01:16,134.0,7,0
436,2013-02-08 13:55:22,97.0,48,1
437,2013-05-14 19:56:30,536.0,0,0
438,2013-06-06 12:16:28,58.0,12,0
439,2012-11-28 08:54:39,84.0,8,1
440,2013-04-19 07:25:31,107.0,21,1
441,2013-06-19 21:02:42,91.0,31,1
442,2012-12-21 17:16:12,273.0,9,0
443,2013-05-13 23:24:03,99.0,93,0
444,2013-04-16 23:48:36,125.0,16,1
445,2013-04-04 11:12:30,200.0,1,1
446,2012-12-03 12:19:28,71.0,40,1
447,2013-01-16 18:29:45,61.0,4,0
448,2012-12-04 20:55:35,109.0,24,1
449,2013-02-19 13:26:59,102.0,21,0
450,2013-01-22 07:10:19,178.0,10,1
451,2013-05-01 21:45:48,163.0,9,1
452,2013-03-20 06:40:30,78.0,267,1
453,2012-12-28 14:24:39,104.0,68,0
454,2013-01-13 11:41:22,111.0,5,1
455,2013-03-06 14:38:57,144.0,36,1
456,2012-11-11 11:01:35,46.0,10,0
457,2013-01-25 16:01:26,59.0,37,0
458,2013-05-29 15:19:00,222.53,23,1
459,2013-01-08 18:00:58,90.0,214,1
460,2013-01-28 23:02:13,116.0,47,1
461,2013-05-24 18:45:51,105.0,8,1
462,2012-12-03 17:10:25,56.0,21,0
463,2012-12-24 01:28:14,135.0,4,1
464,2013-05-07 15:28:28,78.0,42,0
465,2013-02-09 10:55:23,152.0,57,0
466,2013-05-27 14:28:43,92.0,52,1
467,2013-02-13 12:08:24,89.0,121,1
468,2013-01-27 06:28:39,94.0,1,0
469,2012-11-08 19:11:35,178.0,1,1
470,2013-06-21 15:13:51,199.0,0,1
471,2013-01-06 12:36:12,131.0,96,1
472,2013-06-10 12:02:12,129.0,24,1
473,2013-05-30 19:42:51,118.0,63,1
474,2013-04-09 07:41:01,112.0,121,1
475,2013-03-06 05:13:25,108.0,64,1
476,2013-03-07 13:28:15,71.0,17,0
477,2013-04-11 22:23:25,106.0,6,0
478,2013-01-07 17:20:48,81.0,148,0
479,2013-01-22 09:36:25,74.0,49,0
480,2013-03-20 19:02:20,110.29,24,1
481,2012-11-20 14:29:35,46.0,0,0
482,2013-05-20 23:09:50,74.0,2,0
483,2013-01-10 08:54:41,64.0,20,0
484,2013-01-19 02:08:28,64.0,9,0
485,2013-01-02 12:01:27,100.0,167,0
486,2013-05-24 13:37:05,201.0,8,1
487,2013-02-28 09:47:10,148.0,225,1
488,2012-12-14 13:11:47,39.0,5,0
489,2013-06-19 21:00:49,115.0,30,1
490,2013-03-04 15:13:15,196.0,5,1
491,2013-05-11 11:49:21,141.0,90,1
492,2012-12-09 11:10:26,110.0,41,1
493,2012-11-07 23:22:54,46.0,13,0
494,2013-06-19 15:19:45,52.0,12,0
495,2012-12-31 08:25:26,425.0,0,0
496,2013-06-19 16:07:12,66.0,33,0
497,2013-01-13 21:00:26,62.0,23,0
498,2013-02-16 16:52:36,150.0,1,0
499,2012-12-26 18:11:07,133.0,3,1
500,2012-12-01 15:56:35,46.0,9,0
501,2013-02-06 12:41:08,118.0,16,1
502,2013-05-10 10:09:16,60.0,66,0
503,2013-02-08 19:53:12,190.0,1,1
504,2013-01-05 12:30:30,151.0,118,1
505,2012-11-08 15:04:23,46.0,12,0
506,2012-11-22 18:55:17,48.0,29,1
507,2013-04-02 09:28:53,208.0,3,1
508,2012-12-23 14:04:51,43.0,10,0
509,2013-05-03 12:49:25,109.0,19,0
510,2013-03-10 23:39:20,66.0,16,0
511,2013-06-26 06:29:15,62.0,11,0
512,2012-12-22 15:01:44,43.0,11,0
513,2013-02-11 16:35:05,115.0,11,1
514,2012-12-14 03:40:53,56.0,11,0
515,2013-03-05 16:38:20,71.0,22,0
516,2013-04-16 11:29:06,72.0,27,0
517,2012-11-30 12:25:20,66.0,44,0
518,2013-06-08 15:50:12,63.0,36,0
519,2013-05-17 18:41:03,58.0,44,0
520,2013-03-27 22:26:03,66.0,21,0
521,2012-12-03 12:13:58,77.0,41,0
522,2012-11-07 14:43:38,131.0,23,1
523,2013-02-12 14:31:26,150.0,4,1
524,2012-12-16 18:15:46,86.0,8,0
525,2013-06-29 21:09:46,72.0,44,0
526,2012-11-07 21:40:03,47.0,32,0
527,2012-11-30 22:42:31,75.0,51,0
528,2012-11-06 13:29:51,46.0,43,0
529,2012-11-17 07:27:16,56.0,36,0
530,2013-06-18 18:04:56,149.0,8,0
531,2013-02-07 22:28:29,61.0,171,0
532,2013-03-16 20:42:11,198.0,70,1
533,2013-04-17 10:00:04,116.0,35,0
534,2013-05-01 20:58:47,119.0,20,0
535,2012-12-23 11:08:40,84.0,39,1
536,2012-12-12 13:25:43,43.0,22,1
537,2013-04-12 09:51:30,174.0,42,1
538,2013-02-05 13:13:49,141.0,3,1
539,2013-03-04 12:05:47,133.0,5,1
540,2013-05-25 11:44:37,56.0,43,0
541,2012-12-21 06:06:08,56.0,0,1
542,2013-01-24 23:39:08,109.0,1,1
543,2013-05-03 16:46:03,140.0,35,1
544,2013-05-04 12:30:56,165.0,16,0
545,2013-03-18 19:07:14,106.0,103,1
546,2013-03-13 09:43:10,129.0,52,0
547,2013-02-15 11:38:50,67.0,45,0
548,2013-06-14 17:11:29,57.0,60,0
549,2013-01-06 18:53:51,140.0,76,1
550,2012-11-21 17:01:19,70.0,56,0
551,2013-06-19 15:22:27,103.0,124,0
552,2013-03-07 14:38:48,130.0,121,1
553,2013-05-03 17:29:22,50.0,124,0
554,2012-12-14 01:37:09,123.0,14,1
555,2013-06-24 20:44:23,50.0,64,0
556,2013-03-23 02:18:28,56.0,3,0
557,2012-11-04 14:50:34,76.0,20,1
558,2013-01-16 12:53:08,107.0,15,1
559,2012-11-05 18:36:01,127.0,25,1
560,2013-01-09 18:09:20,141.0,30,1
561,2013-05-22 19:30:48,142.0,16,1
562,2013-06-02 00:54:47,132.0,47,1
563,2013-05-08 18:15:01,45.0,19,0
564,2012-11-17 16:32:28,118.0,5,1
565,2013-05-22 21:05:49,159.0,4,0
566,2013-01-26 00:03:05,82.0,60,0
567,2012-12-30 18:59:11,121.0,19,1
568,2013-04-27 20:11:55,55.0,3,0
569,2013-05-24 13:18:49,55.0,3,0
570,2013-03-18 20:46:53,233.0,18,1
571,2013-06-05 11:44:31,149.0,9,1
572,2013-03-12 19:14:13,140.0,5,0
573,2012-11-01 23:43:51,54.0,63,1
574,2013-04-08 13:55:33,67.0,20,0
575,2013-06-11 18:31:01,146.0,32,1
576,2012-12-20 16:09:15,122.0,9,1
577,2013-03-08 18:59:06,158.0,11,0
578,2013-05-29 23:02:13,144.0,2,1
579,2013-06-26 14:08:04,64.0,11,0
580,2012-11-23 20:07:54,99.0,97,1
581,2013-01-12 15:26:39,102.0,138,1
582,2013-01-19 23:47:51,76.0,25,0
583,2013-02-13 19:19:03,138.0,16,1
584,2013-03-17 21:30:44,63.0,79,0
585,2012-12-28 11:37:54,60.0,4,0
586,2013-03-29 15:14:33,86.0,4,0
587,2013-01-03 11:54:29,80.0,47,0
588,2012-11-11 13:01:40,110.0,18,1
589,2013-01-07 11:20:13,88.0,3,1
590,2013-04-30 22:20:12,188.0,31,1
591,2013-03-08 10:29:25,132.0,5,0
592,2013-05-03 21:33:58,106.0,71,1
593,2013-04-30 19:36:15,75.0,63,0
594,2013-02-03 16:46:20,104.0,2,0
595,2012-12-23 08:36:13,62.0,0,0
596,2013-02-21 19:32:52,47.0,95,0
597,2013-05-22 15:34:59,62.0,277,0
598,2013-01-21 21:49:03,78.0,64,0
599,2013-01-29 07:30:41,51.0,106,0
600,2013-06-04 12:42:29,121.0,23,1
601,2012-11-07 07:56:14,111.0,16,1
602,2013-01-27 06:36:57,103.0,7,0
603,2013-04-29 19:39:58,192.0,17,1
604,2013-03-05 17:48:41,114.0,57,0
605,2013-05-09 19:40:50,218.0,15,1
